
2019-08-16 13:59:24,run1:0
2019-08-16 13:59:25,run1:0
2019-08-16 13:59:26,run1:0
2019-08-16 13:59:26,run1:0
2019-08-16 13:59:27,run1:0
2019-08-16 13:59:52,run1:0
2019-08-16 13:59:58,run1:0
2019-08-16 14:00:47,run1:0
2019-08-16 14:07:32,run1:0
2019-08-16 14:07:39,run1:0
2019-08-16 14:08:05,run1:0
2019-08-16 14:08:37,run1:0
2019-08-16 14:29:16,run1:0
2019-08-16 14:29:20,run1:0
2019-08-16 14:29:22,run1:0
2019-08-16 14:33:05,run1:0
2019-08-16 14:36:39,run1:0
2019-08-16 14:36:55,run1:0
2019-08-16 14:37:07,run1:0
2019-08-16 14:38:18,run1:0
2019-08-16 14:38:19,run1:0
2019-08-16 14:38:25,run1:0
2019-08-16 14:38:26,run1:0
2019-08-16 14:38:28,run1:0
2019-08-16 17:07:56,run1:0
2019-08-16 17:07:59,run1:0
2019-08-16 17:08:03,run1:0
2019-08-16 17:08:04,run1:0
2019-08-16 17:08:04,run1:0
2019-08-16 17:11:53,run1:0
2019-08-16 17:19:22,run1:0
2019-08-16 17:21:27,run1:0
2019-08-16 17:23:52,run1:0
2019-08-16 17:25:05,run1:0
2019-08-16 17:26:06,run1:0
